Month,Annual_Inflation
8/1/66,0.03
9/1/66,0.03
10/1/66,0.03
11/1/66,0.03
12/1/66,0.03
1/1/67,0.03
2/1/67,0.03
3/1/67,0.03
4/1/67,0.03
5/1/67,0.03
6/1/67,0.03
7/1/67,0.03
8/1/67,0.03
9/1/67,0.03
10/1/67,0.03
11/1/67,0.03
12/1/67,0.03
1/1/68,0.03
2/1/68,0.03
3/1/68,0.03
4/1/68,0.03
5/1/68,0.03
6/1/68,0.03
7/1/68,0.03
8/1/68,0.03
9/1/68,0.03
10/1/68,0.03
11/1/68,0.03
12/1/68,0.03
1/1/69,0.03
2/1/69,0.03
3/1/69,0.03
4/1/69,0.03
5/1/69,0.03
6/1/69,0.03
7/1/69,0.03
8/1/69,0.03
9/1/69,0.03
10/1/69,0.03
11/1/69,0.03
12/1/69,0.03
1/1/70,0.03
2/1/70,0.03
3/1/70,0.03
4/1/70,0.03
5/1/70,0.03
6/1/70,0.03
7/1/70,0.03
8/1/70,0.03
9/1/70,0.03
10/1/70,0.03
11/1/70,0.03
12/1/70,0.03
1/1/71,0.03
2/1/71,0.03
3/1/71,0.03
4/1/71,0.03
5/1/71,0.03
6/1/71,0.03
7/1/71,0.03
8/1/71,0.03
9/1/71,0.03
10/1/71,0.03
11/1/71,0.03
12/1/71,0.03
1/1/72,0.03
2/1/72,0.03
3/1/72,0.03
4/1/72,0.03
5/1/72,0.03
6/1/72,0.03
7/1/72,0.03
8/1/72,0.03
9/1/72,0.03
10/1/72,0.03
11/1/72,0.03
12/1/72,0.03
1/1/73,0.03
2/1/73,0.03
3/1/73,0.03
4/1/73,0.03
5/1/73,0.03
6/1/73,0.03
7/1/73,0.03
8/1/73,0.03
9/1/73,0.03
10/1/73,0.03
11/1/73,0.03
12/1/73,0.03
1/1/74,0.03
2/1/74,0.03
3/1/74,0.03
4/1/74,0.03
5/1/74,0.03
6/1/74,0.03
7/1/74,0.03
8/1/74,0.03
9/1/74,0.03
10/1/74,0.03
11/1/74,0.03
12/1/74,0.03
1/1/75,0.03
2/1/75,0.03
3/1/75,0.03
4/1/75,0.03
5/1/75,0.03
6/1/75,0.03
7/1/75,0.03
8/1/75,0.03
9/1/75,0.03
10/1/75,0.03
11/1/75,0.03
12/1/75,0.03
1/1/76,0.03
2/1/76,0.03
3/1/76,0.03
4/1/76,0.03
5/1/76,0.03
6/1/76,0.03
7/1/76,0.03
8/1/76,0.03
9/1/76,0.03
10/1/76,0.03
11/1/76,0.03
12/1/76,0.03
1/1/77,0.03
2/1/77,0.03
3/1/77,0.03
4/1/77,0.03
5/1/77,0.03
6/1/77,0.03
7/1/77,0.03
8/1/77,0.03
9/1/77,0.03
10/1/77,0.03
11/1/77,0.03
12/1/77,0.03
1/1/78,0.03
2/1/78,0.03
3/1/78,0.03
4/1/78,0.03
5/1/78,0.03
6/1/78,0.03
7/1/78,0.03
8/1/78,0.03
9/1/78,0.03
10/1/78,0.03
11/1/78,0.03
12/1/78,0.03
1/1/79,0.03
2/1/79,0.03
3/1/79,0.03
4/1/79,0.03
5/1/79,0.03
6/1/79,0.03
7/1/79,0.03
8/1/79,0.03
9/1/79,0.03
10/1/79,0.03
11/1/79,0.03
12/1/79,0.03
1/1/80,0.03
2/1/80,0.03
3/1/80,0.03
4/1/80,0.03
5/1/80,0.03
6/1/80,0.03
7/1/80,0.03
8/1/80,0.03
9/1/80,0.03
10/1/80,0.03
11/1/80,0.03
12/1/80,0.03
1/1/81,0.03
2/1/81,0.03
3/1/81,0.03
4/1/81,0.03
5/1/81,0.03
6/1/81,0.03
7/1/81,0.03
8/1/81,0.03
9/1/81,0.03
10/1/81,0.03
11/1/81,0.03
12/1/81,0.03
1/1/82,0.03
2/1/82,0.03
3/1/82,0.03
4/1/82,0.03
5/1/82,0.03
6/1/82,0.03
7/1/82,0.03
8/1/82,0.03
9/1/82,0.03
10/1/82,0.03
11/1/82,0.03
12/1/82,0.03
1/1/83,0.03
2/1/83,0.03
3/1/83,0.03
4/1/83,0.03
5/1/83,0.03
6/1/83,0.03
7/1/83,0.03
8/1/83,0.03
9/1/83,0.03
10/1/83,0.03
11/1/83,0.03
12/1/83,0.03
1/1/84,0.03
2/1/84,0.03
3/1/84,0.03
4/1/84,0.03
5/1/84,0.03
6/1/84,0.03
7/1/84,0.03
8/1/84,0.03
9/1/84,0.03
10/1/84,0.03
11/1/84,0.03
12/1/84,0.03
1/1/85,0.03
2/1/85,0.03
3/1/85,0.03
4/1/85,0.03
5/1/85,0.03
6/1/85,0.03
7/1/85,0.03
8/1/85,0.03
9/1/85,0.03
10/1/85,0.03
11/1/85,0.03
12/1/85,0.03
1/1/86,0.03
2/1/86,0.03
3/1/86,0.03
4/1/86,0.03
5/1/86,0.03
6/1/86,0.03
7/1/86,0.03
8/1/86,0.03
9/1/86,0.03
10/1/86,0.03
11/1/86,0.03
12/1/86,0.03
1/1/87,0.03
2/1/87,0.03
3/1/87,0.03
4/1/87,0.03
5/1/87,0.03
6/1/87,0.03
7/1/87,0.03
8/1/87,0.03
9/1/87,0.03
10/1/87,0.03
11/1/87,0.03
12/1/87,0.03
1/1/88,0.03
2/1/88,0.03
3/1/88,0.03
4/1/88,0.03
5/1/88,0.03
6/1/88,0.03
7/1/88,0.03
8/1/88,0.03
9/1/88,0.03
10/1/88,0.03
11/1/88,0.03
12/1/88,0.03
1/1/89,0.03
2/1/89,0.03
3/1/89,0.03
4/1/89,0.03
5/1/89,0.03
6/1/89,0.03
7/1/89,0.03
8/1/89,0.03
9/1/89,0.03
10/1/89,0.03
11/1/89,0.03
12/1/89,0.03
1/1/90,0.03
2/1/90,0.03
3/1/90,0.03
4/1/90,0.03
5/1/90,0.03
6/1/90,0.03
7/1/90,0.03
8/1/90,0.03
9/1/90,0.03
10/1/90,0.03
11/1/90,0.03
12/1/90,0.03
1/1/91,0.03
2/1/91,0.03
3/1/91,0.03
4/1/91,0.03
5/1/91,0.03
6/1/91,0.03
7/1/91,0.03
8/1/91,0.03
9/1/91,0.03
10/1/91,0.03
11/1/91,0.03
12/1/91,0.03
1/1/92,0.03
2/1/92,0.03
3/1/92,0.03
4/1/92,0.03
5/1/92,0.03
6/1/92,0.03
7/1/92,0.03
8/1/92,0.03
9/1/92,0.03
10/1/92,0.03
11/1/92,0.03
12/1/92,0.03
1/1/93,0.03
2/1/93,0.03
3/1/93,0.03
4/1/93,0.03
5/1/93,0.03
6/1/93,0.03
7/1/93,0.03
8/1/93,0.03
9/1/93,0.03
10/1/93,0.03
11/1/93,0.03
12/1/93,0.03
1/1/94,0.03
2/1/94,0.03
3/1/94,0.03
4/1/94,0.03
5/1/94,0.03
6/1/94,0.03
7/1/94,0.03
8/1/94,0.03
9/1/94,0.03
10/1/94,0.03
11/1/94,0.03
12/1/94,0.03
1/1/95,0.03
2/1/95,0.03
3/1/95,0.03
4/1/95,0.03
5/1/95,0.03
6/1/95,0.03
7/1/95,0.03
8/1/95,0.03
9/1/95,0.03
10/1/95,0.03
11/1/95,0.03
12/1/95,0.03
1/1/96,0.03
2/1/96,0.03
3/1/96,0.03
4/1/96,0.03
5/1/96,0.03
6/1/96,0.03
7/1/96,0.03
8/1/96,0.03
9/1/96,0.03
10/1/96,0.03
11/1/96,0.03
12/1/96,0.03
1/1/97,0.03
2/1/97,0.03
3/1/97,0.03
4/1/97,0.03
5/1/97,0.03
6/1/97,0.03
7/1/97,0.03
8/1/97,0.03
9/1/97,0.03
10/1/97,0.03
11/1/97,0.03
12/1/97,0.03
1/1/98,0.03
2/1/98,0.03
3/1/98,0.03
4/1/98,0.03
5/1/98,0.03
6/1/98,0.03
7/1/98,0.03
8/1/98,0.03
9/1/98,0.03
10/1/98,0.03
11/1/98,0.03
12/1/98,0.03
1/1/99,0.03
2/1/99,0.03
3/1/99,0.03
4/1/99,0.03
5/1/99,0.03
6/1/99,0.03
7/1/99,0.03
8/1/99,0.03
9/1/99,0.03
10/1/99,0.03
11/1/99,0.03
12/1/99,0.03
